Word1,Flag1,Word2,Flag2,MI,logDF
网易,n,科技,n,8.238885535182796,8.977279923499918
科技,n,讯,ng,8.205656729522573,8.845490050944376
科技,n,报道,v,8.08562060387262,8.810571634741148
同比,j,增长,v,5.084330149985281,8.73470962022584
本文,r,来源,n,9.348284443892283,8.654636028527968
日,m,消息,n,7.684872764072762,8.519636252843213
运营,vn,利润,n,6.911723764400191,8.330916878114618
净利润,n,为,p,4.356950214924698,8.271463027904375
环比,j,增长,v,4.814172357157266,8.238404739325079
　,x,来源,n,7.8865859874666135,8.194756854422248
来源,n,:,x,6.027211990994888,8.194756854422248
:,x,网易,n,4.9107841031537145,8.149747119504683
0,m,条,n,10.335427069020607,8.144658242831882
毛利率,n,为,p,4.462159096890806,8.134426320220927
报道,v,　,x,7.447643995939701,8.124121311829187
月,m,31,m,7.419421385079061,8.118941072723507
31,m,日,m,7.68376577665609,8.092757140919852
月,m,30,m,7.038215257341411,8.0
30,m,日,m,7.330078612378635,7.994353436858858
的,uj,增长,v,1.1514910488572319,7.988684686772166
利润,n,为,p,4.175381560199509,7.977279923499917
运营,vn,利润率,n,6.730541890936456,7.965784284662087
日,m,的,uj,2.418841694592559,7.965784284662087
收入,v,为,p,3.202349146199942,7.9188632372745955
运营,vn,费用,n,5.286440276614031,7.88874324889826
12,m,月,m,7.002261857104569,7.8826430493618425
3,m,月,m,6.930684678634088,7.845490050944376
年,m,第四季度,l,5.274214251395739,7.832890014164742
上,f,一季度,mq,7.218254572063688,7.826548487290916
利润率,n,为,p,4.386899812123429,7.820178962415189
增长,v,主要,b,3.5416659272200826,7.807354922057604
主要,b,是,v,6.682224919758663,7.800899899920305
现金,n,等价物,l,8.938658075848915,7.781359713524661
去年同期,n,为,p,3.4822397589058363,7.7414669864011465
是,v,由于,c,7.451432118674652,7.6653359171851765
业务,n,的,uj,3.0503656654377407,7.6653359171851765
未经,d,审计,v,10.903900641741972,7.651051691178929
相关,v,报道,v,7.165433784092435,7.651051691178929
数据,n,显示,v,9.093261477976645,7.643856189774724
的,uj,收入,v,2.224040617560072,7.636624620543649
总营,n,收,n,8.377096100104724,7.6293566200796095
同比,j,增,v,6.340436589291868,7.599912842187128
的,uj,现金,n,3.288082283753362,7.592457037268081
的,uj,增加,v,3.559994840933608,7.584962500721156
去年同期,n,的,uj,3.142480611362552,7.569855608330948
年,m,第二季度,mq,4.98012270282647,7.546894459887637
年,m,第三季度,mq,4.9736794647657945,7.546894459887637
年,m,12,m,5.131426388492862,7.531381460516312
2011,m,年,m,5.996848327644729,7.491853096329675
费用,n,为,p,2.8180838626335025,7.475733430966398
美国,ns,存托,v,8.98948347059562,7.459431618637297
费用,n,的,uj,2.4198368637376957,7.4346282276367255
公布,v,了,ul,5.929312940096919,7.426264754702098
年,m,第一季度,l,4.88181131672006,7.426264754702098
亿元,m,人民币,n,4.838255262479418,7.426264754702098
9,m,月,m,7.110177678823974,7.409390936137703
收入,v,的,uj,1.622360721893982,7.400879436282184
6,m,月,m,6.661206356912515,7.383704292474053
约,d,为,p,4.555278708223775,7.375039431346925
净营,n,收,n,8.354161719159585,7.375039431346925
2010,m,年,m,5.968034921206279,7.366322214245815
分别,d,为,p,5.02550645731557,7.294620748891627
现金,n,及,c,6.627196751144209,7.266786540694902
收益,n,为,p,4.161314935761541,7.247927513443586
主要,b,由于,c,5.824588127873052,7.22881869049588
看,v,新闻,n,11.148913544101916,7.22881869049588
手机,n,看,v,10.88255877997651,7.22881869049588
条,n,手机,n,9.901667602924215,7.219168520462162
跟贴,v,0,m,10.409937346650887,7.219168520462162
Nasdaq,eng,:,x,7.219036189802256,7.219168520462162
较,d,上,v,8.495758567268515,7.219168520462162
上,f,季度,n,6.423818840711701,7.219168520462162
　,x,跟贴,v,9.248335187716295,7.219168520462162
财报,n,显示,v,7.118804722520003,7.219168520462162
存托,v,凭证,n,9.81843792925939,7.209453365628949
同比,j,下降,v,4.204102435337066,7.189824558880018
营,n,收为,v,8.849197967672639,7.169925001442313
了,ul,截至,v,4.922761488649393,7.169925001442313
年,m,9,m,5.211784143091177,7.169925001442313
为,p,人民币,n,3.34151224748104,7.159871336778389
毛利润,nr,为,p,4.371217529182036,7.159871336778389
支出,v,为,p,3.4374473433940533,7.149747119504682
增值,v,服务,vn,7.83737776391773,7.149747119504682
环比,j,下降,v,5.000946544762877,7.149747119504682
美国通用,nt,会计准则,n,8.936861332332239,7.129283016944966
毛利,nr,为,p,4.4951271535027315,7.118941072723508
增长,v,了,ul,3.067638814565783,7.10852445677817
新闻,n,网易,n,7.633059252867189,7.098032082960527
的,uj,主要,b,1.667955855001671,7.08746284125034
年,m,6,m,4.867053890797903,7.066089190457772
一季度,mq,的,uj,2.7852909240592627,7.05528243550119
发布,v,了,ul,5.602648612143263,7.05528243550119
较,zg,去年同期,n,6.637953114629966,7.05528243550119
万美元,m,同比,j,1.5060812203097513,7.03342300153745
2009,m,年,m,5.9361232295929875,7.022367813028454
今天,t,公布,v,9.355800197483319,7.022367813028454
2008,m,年,m,5.945351915917966,7.011227255423254
盘,q,后,f,9.278836749125814,6.988684686772166
财报,n,数据,n,7.01117174638638,6.977279923499917
下降,v,主要,b,4.646893240128063,6.977279923499917
详,ag,讯,ng,9.694845518702936,6.977279923499917
评论,n,0,m,10.256780558589465,6.965784284662088
首席,n,执行官,n,11.31486375537889,6.965784284662088
网友,n,评论,n,11.237258000324648,6.965784284662088
