Word1,Flag1,Word2,Flag2,MI,TF
凡,d,国君,n,18.929573599494102,1
国电,j,千万元,m,18.929573599494102,1
移动网,n,游乐,n,18.929573599494102,1
沉重,a,哀悼,v,18.929573599494102,1
因有,c,世界杯赛,nz,18.929573599494102,1
有待,v,监管部门,n,18.929573599494102,1
755,m,股麦,n,18.929573599494102,1
攻击,v,而已,y,18.929573599494102,1
核高,n,基,n,18.929573599494102,1
未升,v,反跌,v,18.929573599494102,1
应付,vn,票据,n,18.929573599494102,1
藏族,nz,神话,n,18.929573599494102,1
前沿,s,新闻报道,n,18.929573599494102,1
抵减,v,项,q,18.929573599494102,1
百变,nz,金刚,nr,18.929573599494102,1
.123,m,R,eng,18.929573599494102,1
现四,t,足,a,18.929573599494102,1
性价,n,产出,v,18.929573599494102,1
新闻出版,n,总署,n,18.929573599494102,1
美丽,ns,童行,nr,18.929573599494102,1
并不认为,v,此番,t,18.929573599494102,1
强烈,a,带入,v,18.929573599494102,1
乐,a,居所,n,18.929573599494102,1
基金会,n,捐赠,v,18.929573599494102,1
家族,nz,神坛,n,18.929573599494102,1
严格执行,nr,财务纪律,n,18.929573599494102,1
主办,b,真人秀,nr,18.929573599494102,1
古典文学,nt,名著,n,18.929573599494102,1
调解,v,收场,n,18.929573599494102,1
黄梅,nr,别冶,nr,18.929573599494102,1
台,ns,港澳地区,j,18.929573599494102,1
授,vg,出购,v,18.929573599494102,1
驴,n,评网,v,18.929573599494102,1
数百万,m,次,m,18.929573599494102,1
乱,d,武,v,18.929573599494102,1
消,v,彼,r,18.929573599494102,1
反超,v,失,zg,18.929573599494102,1
昱,g,泉,n,18.929573599494102,1
热血,n,战队,n,18.929573599494102,1
修缮,v,企业形象,n,18.929573599494102,1
深圳网,nt,域,n,18.929573599494102,1
透过,v,深入,v,18.929573599494102,1
各国,r,大选,v,18.929573599494102,1
虚报,n,十倍,m,18.929573599494102,1
儿童教育,l,影片,n,18.929573599494102,1
经受,v,了比,v,18.929573599494102,1
牵涉,v,固有,b,18.929573599494102,1
富,nr,节奏感,n,18.929573599494102,1
逐见,d,起色,n,18.929573599494102,1
宋,nr,哲念,n,18.929573599494102,1
